DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
06/01/2016,22:30,BROOKLYN,11224,40.5782232,-73.9872348,"(40.5782232, -73.9872348)",,,2809 WEST 20 STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3453373,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/01/2016,22:25,,,,,,,,WEST 66 STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,3452994,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
06/01/2016,22:25,QUEENS,11411,40.6975248,-73.7468181,"(40.6975248, -73.7468181)",FRANCIS LEWIS BOULEVARD,116 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,3454826,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
06/01/2016,22:20,BRONX,10451,40.824061,-73.9281412,"(40.824061, -73.9281412)",EAST 153 STREET,RIVER AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3453207,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/01/2016,22:15,,,,,,SUTPHIN BOULEVARD,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3455091,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/01/2016,22:10,QUEENS,11435,40.6982304,-73.8063385,"(40.6982304, -73.8063385)",,,95-15 SUTPHIN BOULEVARD,1,0,0,0,0,0,1,0,Unspecified,Unspecified,Unspecified,,,3453856,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
06/01/2016,22:10,QUEENS,11378,40.7267706,-73.8954105,"(40.7267706, -73.8954105)",69 STREET,CLINTON AVENUE,,1,0,1,0,0,0,0,0,Unspecified,,,,,3453884,PASSENGER VEHICLE,,,,
06/01/2016,22:10,BROOKLYN,11212,40.6572088,-73.9002951,"(40.6572088, -73.9002951)",LINDEN BOULEVARD,HEGEMAN AVENUE,,1,0,1,0,0,0,0,0,Unspecified,,,,,3453605,PASSENGER VEHICLE,,,,
06/01/2016,22:10,BRONX,10455,40.8182291,-73.9167886,"(40.8182291, -73.9167886)",EAST 152 STREET,MELROSE AVENUE,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3453124,PASSENGER VEHICLE,BICYCLE,,,
06/01/2016,22:10,,,,,,WHITESTONE EXPRESSWAY AND 20TH A,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3454034,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/01/2016,22:07,BRONX,10456,40.8299719,-73.9038737,"(40.8299719, -73.9038737)",,,1208 FRANKLIN AVENUE,1,0,1,0,0,0,0,0,Unspecified,,,,,3453157,PASSENGER VEHICLE,,,,
06/01/2016,22:05,,,,,,ASTORIA BOULEVARD,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3454193,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/01/2016,22:03,MANHATTAN,10018,40.7595273,-73.999242,"(40.7595273, -73.999242)",WEST 40 STREET,11 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3452874,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/01/2016,22:00,,,40.6768371,-74.0014487,"(40.6768371, -74.0014487)",,,,2,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,3454591,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/01/2016,22:00,,,40.7397921,-73.8453684,"(40.7397921, -73.8453684)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3454806,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/01/2016,22:00,BROOKLYN,11238,40.6798312,-73.9582932,"(40.6798312, -73.9582932)",ATLANTIC AVENUE,CLASSON AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3453666,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/01/2016,22:00,BROOKLYN,11235,40.583106,-73.9541414,"(40.583106, -73.9541414)",NEPTUNE AVENUE,SHORE BOULEVARD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3456118,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/01/2016,21:58,QUEENS,11101,40.7429828,-73.9348688,"(40.7429828, -73.9348688)",47 AVENUE,31 PLACE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3454003,PASSENGER VEHICLE,SMALL COM VEH(4 TIRES),,,
06/01/2016,21:50,MANHATTAN,10036,40.7616074,-73.9903149,"(40.7616074, -73.9903149)",WEST 47 STREET,9 AVENUE,,1,0,1,0,0,0,0,0,Unspecified,,,,,3455687,PASSENGER VEHICLE,,,,
06/01/2016,21:50,,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3453769,PASSENGER VEHICLE,,,,
06/01/2016,21:45,,,40.6015096,-74.0114445,"(40.6015096, -74.0114445)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3456130,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/01/2016,21:40,,,,,,SPRINGFIELD BOULEVARD,97 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3453931,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/01/2016,21:40,MANHATTAN,10012,40.7250834,-73.9953279,"(40.7250834, -73.9953279)",EAST HOUSTON STREET,LAFAYETTE STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3454314,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/01/2016,21:40,BROOKLYN,11208,40.6735164,-73.8758791,"(40.6735164, -73.8758791)",BELMONT AVENUE,LOGAN STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3453638,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/01/2016,21:34,,,,,,,,EAST 63 STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3454358,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/01/2016,21:30,BROOKLYN,11220,40.6346161,-74.0235199,"(40.6346161, -74.0235199)",4 AVENUE,BAY RIDGE AVENUE,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3453496,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/01/2016,21:30,,,,,,QUEENS PLAZA SOUTH,28TH STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3454002,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/01/2016,21:30,QUEENS,11421,40.6847527,-73.860765,"(40.6847527, -73.860765)",ROCKAWAY BOULEVARD,ATLANTIC AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3453827,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/01/2016,21:30,MANHATTAN,10029,40.7992856,-73.9453602,"(40.7992856, -73.9453602)",EAST 115 STREET,MADISON AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3453042,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/01/2016,21:30,MANHATTAN,10018,40.7534089,-73.9904858,"(40.7534089, -73.9904858)",,,240 WEST 37 STREET,0,0,0,0,0,0,0,0,Unspecified,,,,,3452919,PASSENGER VEHICLE,,,,
06/01/2016,21:30,BRONX,10467,40.8837188,-73.8804846,"(40.8837188, -73.8804846)",,,3571 JEROME AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3457741,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/01/2016,21:19,BROOKLYN,11236,40.6383656,-73.9001107,"(40.6383656, -73.9001107)",AVENUE K,EAST 93 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,3453510,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
06/01/2016,21:16,BROOKLYN,11210,40.6346508,-73.9372659,"(40.6346508, -73.9372659)",ALBANY AVENUE,GLENWOOD ROAD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3453470,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/01/2016,21:15,,,,,,EAST 80 STREET,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3454359,PASSENGER VEHICLE,OTHER,,,
06/01/2016,21:15,QUEENS,11103,40.7664525,-73.9096079,"(40.7664525, -73.9096079)",,,2512 43 STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3455593,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/01/2016,21:06,MANHATTAN,10017,40.7572855,-73.9781153,"(40.7572855, -73.9781153)",WEST 48 STREET,5 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3455689,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
